"BusStopKeyName","Days","Time"
"Plaza 1ro de Mayo","Habiles","20:24:00"
"Plaza 1ro de Mayo","Habiles","20:37:00"
"Plaza 1ro de Mayo","Habiles","20:57:00"
"Plaza 1ro de Mayo","Habiles","21:16:00"
"Plaza 1ro de Mayo","Habiles","21:40:00"
"Plaza 1ro de Mayo","Habiles","22:05:00"
"Plaza 1ro de Mayo","Habiles","22:31:00"
"Plaza 1ro de Mayo","Habiles","23:03:00"
"Plaza 1ro de Mayo","Habiles","23:35:00"
"Plaza 1ro de Mayo","Habiles","00:04:00"
"Plaza 1ro de Mayo","Habiles","00:29:00"
"Plaza Alvear","Habiles",05:20:00
"Plaza Alvear","Habiles",05:41:00
"Plaza Alvear","Habiles",06:01:00
"Plaza Alvear","Habiles",06:22:00
"Plaza Alvear","Habiles",06:36:00
"Plaza Alvear","Habiles",06:44:00
"Plaza Alvear","Habiles",06:56:00
"Plaza Alvear","Habiles",07:09:00
"Plaza Alvear","Habiles",07:20:00
"Plaza Alvear","Habiles",07:35:00
"Plaza Alvear","Habiles",07:48:00
"Plaza Alvear","Habiles",08:00:00
"Plaza Alvear","Habiles",08:12:00
"Plaza Alvear","Habiles",08:24:00
"Plaza Alvear","Habiles",08:35:00
"Plaza Alvear","Habiles",08:47:00
"Plaza Alvear","Habiles",08:59:00
"Plaza Alvear","Habiles",09:11:00
"Plaza Alvear","Habiles",09:23:00
"Plaza Alvear","Habiles",09:35:00
"Plaza Alvear","Habiles",09:46:00
"Plaza Alvear","Habiles",09:58:00
"Plaza Alvear","Habiles",10:10:00
"Plaza Alvear","Habiles",10:22:00
"Plaza Alvear","Habiles",10:34:00
"Plaza Alvear","Habiles",10:45:00
"Plaza Alvear","Habiles",10:57:00
"Plaza Alvear","Habiles",11:09:00
"Plaza Alvear","Habiles",11:21:00
"Plaza Alvear","Habiles",11:33:00
"Plaza Alvear","Habiles",11:44:00
"Plaza Alvear","Habiles",11:56:00
"Plaza Alvear","Habiles",12:08:00
"Plaza Alvear","Habiles",12:20:00
"Plaza Alvear","Habiles",12:32:00
"Plaza Alvear","Habiles",12:43:00
"Plaza Alvear","Habiles",12:55:00
"Plaza Alvear","Habiles",13:07:00
"Plaza Alvear","Habiles",13:19:00
"Plaza Alvear","Habiles",13:31:00
"Plaza Alvear","Habiles",13:39:00
"Plaza Alvear","Habiles",13:51:00
"Plaza Alvear","Habiles",14:07:00
"Plaza Alvear","Habiles",14:23:00
"Plaza Alvear","Habiles",14:39:00
"Plaza Alvear","Habiles",14:55:00
"Plaza Alvear","Habiles",15:11:00
"Plaza Alvear","Habiles",15:27:00
"Plaza Alvear","Habiles",15:43:00
"Plaza Alvear","Habiles",16:02:00
"Plaza Alvear","Habiles",16:18:00
"Plaza Alvear","Habiles",16:34:00
"Plaza Alvear","Habiles",16:49:00
"Plaza Alvear","Habiles",17:04:00
"Plaza Alvear","Habiles",17:16:00
"Plaza Alvear","Habiles",17:28:00
"Plaza Alvear","Habiles",17:40:00
"Plaza Alvear","Habiles",17:51:00
"Plaza Alvear","Habiles",18:03:00
"Plaza Alvear","Habiles",18:15:00
"Plaza Alvear","Habiles",18:27:00
"Plaza Alvear","Habiles",18:39:00
"Plaza Alvear","Habiles",18:50:00
"Plaza Alvear","Habiles",19:02:00
"Plaza Alvear","Habiles",19:14:00
"Plaza Alvear","Habiles",19:26:00
"Plaza Alvear","Habiles",19:38:00
"Plaza Alvear","Habiles",19:49:00
"Plaza Alvear","Habiles",20:01:00
"Plaza Alvear","Habiles",20:13:00
"Plaza Alvear","Habiles",20:24:00
"Plaza Alvear","Habiles",20:36:00
"Plaza Alvear","Habiles",20:47:00
"Plaza Alvear","Habiles",20:59:00
"Plaza Alvear","Habiles",21:19:00
"Plaza Alvear","Habiles",21:37:00
"Plaza Alvear","Habiles",22:01:00
"Plaza Alvear","Habiles",22:27:00
"Plaza Alvear","Habiles",22:53:00
"Plaza Alvear","Habiles",23:23:00
"Plaza Alvear","Habiles",23:55:00
"Plaza Alverdi","Habiles",05:26:00
"Plaza Alverdi","Habiles",05:47:00
"Plaza Alverdi","Habiles",06:09:00
"Plaza Alverdi","Habiles",06:30:00
"Plaza Alverdi","Habiles",06:44:00
"Plaza Alverdi","Habiles",06:52:00
"Plaza Alverdi","Habiles",07:05:00
"Plaza Alverdi","Habiles",07:18:00
"Plaza Alverdi","Habiles",07:29:00
"Plaza Alverdi","Habiles",07:44:00
"Plaza Alverdi","Habiles",07:57:00
"Plaza Alverdi","Habiles",08:09:00
"Plaza Alverdi","Habiles",08:21:00
"Plaza Alverdi","Habiles",08:33:00
"Plaza Alverdi","Habiles",08:44:00
"Plaza Alverdi","Habiles",08:56:00
"Plaza Alverdi","Habiles",09:08:00
"Plaza Alverdi","Habiles",09:20:00
"Plaza Alverdi","Habiles",09:32:00
"Plaza Alverdi","Habiles",09:44:00
"Plaza Alverdi","Habiles",09:55:00
"Plaza Alverdi","Habiles",10:07:00
"Plaza Alverdi","Habiles",10:19:00
"Plaza Alverdi","Habiles",10:31:00
"Plaza Alverdi","Habiles",10:43:00
"Plaza Alverdi","Habiles",10:54:00
"Plaza Alverdi","Habiles",11:06:00
"Plaza Alverdi","Habiles",11:18:00
"Plaza Alverdi","Habiles",11:30:00
"Plaza Alverdi","Habiles",11:42:00
"Plaza Alverdi","Habiles",11:53:00
"Plaza Alverdi","Habiles",12:05:00
"Plaza Alverdi","Habiles",12:17:00
"Plaza Alverdi","Habiles",12:29:00
"Plaza Alverdi","Habiles",12:41:00
"Plaza Alverdi","Habiles",12:52:00
"Plaza Alverdi","Habiles",13:04:00
"Plaza Alverdi","Habiles",13:16:00
"Plaza Alverdi","Habiles",13:28:00
"Plaza Alverdi","Habiles",13:39:00
"Plaza Alverdi","Habiles",13:47:00
"Plaza Alverdi","Habiles",13:59:00
"Plaza Alverdi","Habiles",14:15:00
"Plaza Alverdi","Habiles",14:31:00
"Plaza Alverdi","Habiles",14:47:00
"Plaza Alverdi","Habiles",15:03:00
"Plaza Alverdi","Habiles",15:19:00
"Plaza Alverdi","Habiles",15:35:00
"Plaza Alverdi","Habiles",15:51:00
"Plaza Alverdi","Habiles",16:10:00
"Plaza Alverdi","Habiles",16:27:00
"Plaza Alverdi","Habiles",16:43:00
"Plaza Alverdi","Habiles",16:58:00
"Plaza Alverdi","Habiles",17:13:00
"Plaza Alverdi","Habiles",17:25:00
"Plaza Alverdi","Habiles",17:37:00
"Plaza Alverdi","Habiles",17:49:00
"Plaza Alverdi","Habiles",18:00:00
